,ID,Prompt,Representations,Auto_assessment,Task,Task_specific_label,img2img_instructions,Linked_prompts
123,124,two cats and three times as many stop signs,"cat, stop sign",True,Simple arithmetic,"2,6",,"1847,1908"
124,125,two bicycles and three times as many remotes,"bicycle, remote",True,Simple arithmetic,"2,6",,"1880,1914"
125,126,two sheep and three times as many snowboards,"sheep, snowboard",True,Simple arithmetic,"2,6",,"1824,1915"
126,127,two bananas and three times as many hot dogs,"banana, hot dog",True,Simple arithmetic,"2,6",,"1863,1916"
127,128,two handbags and three times as many trucks,"handbag, truck",True,Simple arithmetic,"2,6",,"1917,1918"
128,129,two bears and three times as many couches,"bear, couch",True,Simple arithmetic,"2,6",,"1891,1913"
129,130,two cars and three times as many mice,"car, mice",True,Simple arithmetic,"2,6",,"1826,1919"
130,131,four snowboards and three times as many dining tables,"snowboard, dining table",True,Simple arithmetic,"4,12",,"1915,1920"
131,132,four trains and three times as many skateboards,"train, skateboard",True,Simple arithmetic,"4,12",,"1912,1899"
132,133,four remotes and three times as many skateboards,"remote, skateboard",True,Simple arithmetic,"4,12",,"1914,1899"
133,134,four toilets and three times as many sports balls,"toilet, sports ball",True,Simple arithmetic,"4,12",,"1921,1922"
134,135,four fire hydrants and three times as many microwaves,"fire hydrant, microwave",True,Simple arithmetic,"4,12",,"1923,1910"
135,136,four books and three times as many forks,"book, fork",True,Simple arithmetic,"4,12",,"1924,1869"
136,137,four toothbrushes and three times as many handbags,"toothbrush, handbag",True,Simple arithmetic,"4,12",,"1813,1917"
137,138,four bears and three times as many skateboards,"bear, skateboard",True,Simple arithmetic,"4,12",,"1891,1899"
138,139,four hair driers and three times as many suitcases,"hair drier, suitcase",True,Simple arithmetic,"4,12",,"1890,1925"
139,140,four carrots and three times as many cups,"carrot, cup",True,Simple arithmetic,"4,12",,"1906,1885"
140,141,two remotes and four times as many zebras,"remote, zebra",True,Simple arithmetic,"2,8",,"1914,1904"
141,142,two toilets and four times as many stop signs,"toilet, stop sign",True,Simple arithmetic,"2,8",,"1921,1908"
142,143,two frisbees and four times as many donuts,"frisbee, donut",True,Simple arithmetic,"2,8",,"1926,1927"
143,144,two trains and four times as many sinks,"train, sink",True,Simple arithmetic,"2,8",,"1912,1905"
144,145,two surfboards and four times as many skateboards,"surfboard, skateboard",True,Simple arithmetic,"2,8",,"1928,1899"
145,146,two toothbrushes and four times as many broccolis,"toothbrush, broccoli",True,Simple arithmetic,"2,8",,"1813,1929"
146,147,two birds and four times as many pizzas,"bird, pizza",True,Simple arithmetic,"2,8",,"1837,1930"
147,148,two refrigerators and four times as many benches,"refrigerator, bench",True,Simple arithmetic,"2,8",,"1901,1893"
148,149,two suitcases and four times as many potted plants,"suitcase, potted plant",True,Simple arithmetic,"2,8",,"1925,1931"
149,150,two baseball gloves and four times as many stop signs,"baseball glove, stop sign",True,Simple arithmetic,"2,8",,"1902,1908"
150,151,six keyboards and half as many wine glasses,"keyboard, wine glass",True,Simple arithmetic,"6,3",,"1895,1932"
151,152,six teddy bears and half as many benches,"teddy bear, bench",True,Simple arithmetic,"6,3",,"1900,1893"
152,153,six ties and half as many wine glasses,"tie, wine glass",True,Simple arithmetic,"6,3",,"1933,1932"
153,154,six frisbees and half as many boats,"frisbee, boat",True,Simple arithmetic,"6,3",,"1926,1814"
154,155,six potted plants and half as many bicycles,"potted plant, bicycle",True,Simple arithmetic,"6,3",,"1931,1880"
155,156,six ties and half as many bottles,"tie, bottle",True,Simple arithmetic,"6,3",,"1933,1934"
156,157,six frisbees and half as many handbags,"frisbee, handbag",True,Simple arithmetic,"6,3",,"1926,1917"
157,158,six trucks and half as many toothbrushes,"truck, toothbrush",True,Simple arithmetic,"6,3",,"1918,1813"
158,159,six suitcases and half as many bananas,"suitcase, banana",True,Simple arithmetic,"6,3",,"1925,1863"
159,160,six spoons and half as many sinks,"spoon, sink",True,Simple arithmetic,"6,3",,"1861,1905"
160,161,twelve wine glasses and half as many stop signs,"wine glass, stop sign",True,Simple arithmetic,"12,6",,"1932,1908"
161,162,twelve motorcycles and half as many zebras,"motorcycle, zebra",True,Simple arithmetic,"12,6",,"1911,1904"
162,163,twelve sports balls and half as many laptops,"sports ball, laptop",True,Simple arithmetic,"12,6",,"1922,1935"
163,164,twelve keyboards and half as many toasters,"keyboard, toaster",True,Simple arithmetic,"12,6",,"1895,1936"
164,165,twelve scissors and half as many toothbrushes,"scissors, toothbrush",True,Simple arithmetic,"12,6",,"1909,1813"
165,166,twelve parking meters and half as many toilets,"parking meter, toilet",True,Simple arithmetic,"12,6",,"1937,1921"
166,167,twelve beds and half as many cows,"bed, cow",True,Simple arithmetic,"12,6",,"1938,1889"
167,168,twelve keyboards and half as many wine glasses,"keyboard, wine glass",True,Simple arithmetic,"12,6",,"1895,1932"
168,169,twelve teddy bears and half as many benches,"teddy bear, bench",True,Simple arithmetic,"12,6",,"1900,1893"
169,170,twelve ties and half as many wine glasses,"tie, wine glass",True,Simple arithmetic,"12,6",,"1933,1932"
170,171,six ties and a third as many bottles,"tie, bottle",True,Simple arithmetic,"6,2",,"1933,1934"
171,172,six frisbees and a third as many handbags,"frisbee, handbag",True,Simple arithmetic,"6,2",,"1926,1917"
172,173,six toothbrushes and a third as many cups,"toothbrush, cup",True,Simple arithmetic,"6,2",,"1813,1885"
173,174,six books and a third as many potted plants,"book, potted plant",True,Simple arithmetic,"6,2",,"1924,1931"
174,175,six books and a third as many hot dogs,"book, hot dog",True,Simple arithmetic,"6,2",,"1924,1916"
175,176,six wine glasses and a third as many sandwiches,"wine glass, sandwich",True,Simple arithmetic,"6,2",,"1932,1939"
176,177,six dining tables and a third as many zebras,"dining table, zebra",True,Simple arithmetic,"6,2",,"1920,1904"
177,178,six benches and a third as many skateboards,"bench, skateboard",True,Simple arithmetic,"6,2",,"1893,1899"
178,179,six apples and a third as many bicycles,"apple, bicycle",True,Simple arithmetic,"6,2",,"1825,1880"
179,180,six dogs and a third as many tennis rackets,"dog, tennis racket",True,Simple arithmetic,"6,2",,"1846,1940"
180,181,twelve trains and a third as many traffic lights,"train, traffic light",True,Simple arithmetic,"12,4",,"1912,1941"
181,182,twelve backpacks and a third as many couches,"backpack, couch",True,Simple arithmetic,"12,4",,"1942,1913"
182,183,twelve cups and a third as many benches,"cup, bench",True,Simple arithmetic,"12,4",,"1885,1893"
183,184,twelve bowls and a third as many backpacks,"bowl, backpack",True,Simple arithmetic,"12,4",,"1903,1942"
184,185,twelve boats and a third as many snowboards,"boat, snowboard",True,Simple arithmetic,"12,4",,"1814,1915"
185,186,twelve books and a third as many skateboards,"book, skateboard",True,Simple arithmetic,"12,4",,"1924,1899"
186,187,twelve sandwiches and a third as many keyboards,"sandwich, keyboard",True,Simple arithmetic,"12,4",,"1939,1895"
187,188,twelve apples and a third as many bicycles,"apple, bicycle",True,Simple arithmetic,"12,4",,"1825,1880"
188,189,twelve parking meters and a third as many motorcycles,"parking meter, motorcycle",True,Simple arithmetic,"12,4",,"1937,1911"
189,190,twelve hot dogs and a third as many trains,"hot dog, train",True,Simple arithmetic,"12,4",,"1916,1912"
190,191,eight bowls and a quarter as many toasters,"bowl, toaster",True,Simple arithmetic,"8,2",,"1903,1936"
191,192,eight vases and a quarter as many hot dogs,"vase, hot dog",True,Simple arithmetic,"8,2",,"1943,1916"
192,193,eight bicycles and a quarter as many surfboards,"bicycle, surfboard",True,Simple arithmetic,"8,2",,"1880,1928"
193,194,eight parking meters and a quarter as many cats,"parking meter, cat",True,Simple arithmetic,"8,2",,"1937,1847"
194,195,eight donuts and a quarter as many cars,"donut, car",True,Simple arithmetic,"8,2",,"1927,1826"
195,196,eight backpacks and a quarter as many sandwiches,"backpack, sandwich",True,Simple arithmetic,"8,2",,"1942,1939"
196,197,eight teddy bears and a quarter as many couches,"teddy bear, couch",True,Simple arithmetic,"8,2",,"1900,1913"
197,198,eight dogs and a quarter as many wine glasses,"dog, wine glass",True,Simple arithmetic,"8,2",,"1846,1932"
198,199,eight birds and a quarter as many frisbees,"bird, frisbee",True,Simple arithmetic,"8,2",,"1837,1926"
199,200,eight hair driers and a quarter as many benches,"hair drier, bench",True,Simple arithmetic,"8,2",,"1890,1893"
200,201,a kitchen without any utensils,kitchen,True,Negation,utensil,,1944
201,202,a bedroom without any furniture,bedroom,True,Negation,furniture,,1945
202,203,a desert without any cacti,desert,True,Negation,cactus,,1946
203,204,a garden without any grass,garden,True,Negation,grass,,1947
204,205,a room with no furniture,room,True,Negation,furniture,,1948
205,206,a cave without any bats,cave,True,Negation,bat,,1949
206,207,a garden with no flowers,garden,True,Negation,flower,,1947
207,208,an ocean with no boats,ocean,True,Negation,boat,,1819
208,209,a city with no cars,city,True,Negation,car,,1950
209,210,a street without any pedestrians,street,True,Negation,pedestrian,,1951
210,211,a tree that has no leaves,tree,True,Negation,leaf,,1835
211,212,a balloon without any strings,balloon,True,Negation,string,,1864
212,213,a table without any utensils,table,True,Negation,utensil,,1952
213,214,a lake without any lily pads,lake,True,Negation,lily pads,,1953
214,215,a table with no chairs around it,table,True,Negation,chair,,1952
215,216,a house without any windows,house,True,Negation,window,,1809
216,217,a stadium without any spectators,stadium,True,Negation,spectator,,1954
217,218,a field without any sheep,field,True,Negation,sheep,,1955
218,219,a bedroom without any pillows,bedroom,True,Negation,pillow,,1945
219,220,a kitchen without any stoves,kitchen,True,Negation,stove,,1944
220,221,a beach with no people,beach,True,Negation,people,,1956
221,222,a fireplace without any logs,fireplace,True,Negation,log,,1957
222,223,a backyard without any birds,backyard,True,Negation,bird,,1958
223,224,a cityscape without a skyscraper,cityscape,True,Negation,skyscraper,,1959
224,225,an ocean without any boats,ocean,True,Negation,boat,,1819
225,226,a park with no benches,park,True,Negation,bench,,1960
226,227,a hallway without any paintings,hallway,True,Negation,painting,,1961
227,228,a house without a roof,house,True,Negation,roof,,1809
228,229,a coast without any boats,coast,True,Negation,boat,,1962
229,230,a field without any horses,field,True,Negation,horse,,1955
230,231,a door without any knobs,door,True,Negation,knob,,1963
231,232,a mountain without any snow,mountain,True,Negation,snow,,1868
232,233,a bed without any sheets,bed,True,Negation,sheet,,1938
233,234,a street without any buildings,street,True,Negation,building,,1951
234,235,a crowd without any children,crowd,True,Negation,child,,1964
235,236,a boat with no oars,boat,True,Negation,oar,,1814
236,237,a barn without any hay,barn,True,Negation,hay,,1965
237,238,a river without any waterfalls,river,True,Negation,waterfall,,1966
238,239,a road with no cars,road,True,Negation,car,,1967
239,240,a park without any children,park,True,Negation,child,,1960
240,241,an apple without a stem,apple,True,Negation,stem,,1825
241,242,a boat without any sailors,boat,True,Negation,sailor,,1814
242,243,an office without any computers,office,True,Negation,computer,,1968
243,244,a bookshelf without any books,bookshelf,True,Negation,book,,1969
244,245,a school without any students,school,True,Negation,student,,1970
245,246,a river with no water,river,True,Negation,water,,1966
246,247,a book without any pages,book,True,Negation,page,,1924
247,248,a lawn that is not mowed,lawn,True,Negation,mowed,,1971
248,249,a field with no sheep,field,True,Negation,sheep,,1955
249,250,a cloudy sky without any birds,cloudy sky,True,Negation,bird,,1972
250,251,a river without any ducks,river,True,Negation,duck,,1966
251,252,a meadow without any animals,meadow,True,Negation,animal,,1973
252,253,a tent without any campers,tent,True,Negation,camper,,1974
253,254,a house without any people,house,True,Negation,people,,1809
254,255,a park without any swings,park,True,Negation,swing,,1960
255,256,a desk without a chair,desk,True,Negation,chair,,1855
256,257,a field with no trees,field,True,Negation,tree,,1955
257,258,a bathroom with no towels,bathroom,True,Negation,towel,,1975
258,259,a plate without any food,plate,True,Negation,food,,1976
259,260,a yard without any toys,yard,True,Negation,toy,,1977
260,261,a park without any playground equipment,park,True,Negation,playground equipment,,1960
261,262,a living room without a television,living room,True,Negation,television,,1978
262,263,an ocean without any waves,ocean,True,Negation,wave,,1819
263,264,a window without any curtains,window,True,Negation,curtain,,1979
264,265,a lake without any swans,lake,True,Negation,swan,,1953
265,266,a forest without any animals,forest,True,Negation,animal,,1980
266,267,a plate with no food,plate,True,Negation,food,,1976
267,268,a lake that is not frozen,lake,True,Negation,frozen,,1953
268,269,a cat without any whiskers,cat,True,Negation,whisker,,1847
269,270,a concert without an audience,concert,True,Negation,audience,,1981
270,271,a bathroom without any mirrors,bathroom,True,Negation,mirror,,1975
271,272,a building without any doors,building,True,Negation,door,,1806
272,273,a pond without any ducks,pond,True,Negation,duck,,1982
273,274,a sunset that does not include a beach,sunset,True,Negation,beach,,1983
274,275,a beach without any umbrellas,beach,True,Negation,umbrella,,1956
275,276,a garden without any trees,garden,True,Negation,tree,,1947
276,277,a parking lot without any vehicles,parking lot,True,Negation,vehicle,,1984
277,278,a park without any picnic tables,park,True,Negation,picnic tables,,1960
278,279,a barn without any horses,barn,True,Negation,horse,,1965
279,280,a hallway without any doors,hallway,True,Negation,door,,1961
280,281,a store without any customers,store,True,Negation,customer,,1985
281,282,a sunset without any clouds,sunset,True,Negation,cloud,,1983
282,283,a kitchen without a sink,kitchen,True,Negation,sink,,1944
283,284,a flower without any petals,flower,True,Negation,petal,,1986
284,285,a beach without any people,beach,True,Negation,people,,1956
285,286,a shopping mall without any stores,shopping mall,True,Negation,store,,1987
286,287,a river without any bridges,river,True,Negation,bridge,,1966
287,288,a restaurant without any customers,restaurant,True,Negation,customer,,1988
288,289,a lake with no boats,lake,True,Negation,boat,,1953
289,290,a barn without any animals,barn,True,Negation,animal,,1965
290,291,a car with no wheels,car,True,Negation,wheel,,1826
291,292,a dining room with no table,dining room,True,Negation,table,,1989
292,293,a cat without any fur,cat,True,Negation,fur,,1847
293,294,a cake without any icing,cake,True,Negation,icing,,1892
294,295,a church without any benches,church,True,Negation,bench,,1990
295,296,a shoe without any laces,shoe,True,Negation,lace,,1991
296,297,a swimming pool without any swimmers,swimming pool,True,Negation,swimmer,,1992
297,298,a classroom without any desks,classroom,True,Negation,desk,,1993
298,299,a cup without any coffee,cup,True,Negation,coffee,,1885
299,300,a train station without any trains,train station,True,Negation,train,,1994
300,301,Goat looking at a bag,"goat, bag",False,Directed actions,looking at,,"1995,1996"
301,302,Albatross looking at a water bottle,"albatross, water bottle",False,Directed actions,looking at,,"1997,1998"
302,303,Beaver touching a pen,"beaver, pen",False,Directed actions,touching,,"1999,2000"
303,304,Cat biting a pen,"cat, pen",False,Directed actions,biting,,"1847,2000"
304,305,Skunk looking at a book,"skunk, book",False,Directed actions,looking at,,"2001,1924"
305,306,Wallaby poking a hat,"wallaby, hat",False,Directed actions,poking,,"2002,2003"
306,307,Swan sitting on a watch,"swan, watch",False,Directed actions,sitting on,,"1866,2004"
307,308,Seagull looking at a hat,"seagull, hat",False,Directed actions,looking at,,"2005,2003"
308,309,Cow eating a flower,"cow, flower",False,Directed actions,eating,,"1889,1986"
309,310,Wombat kicking a chair,"wombat, chair",False,Directed actions,kicking,,"2006,1894"
310,311,Pig kicking a guitar,"pig, guitar",False,Directed actions,kicking,,"2007,2008"
311,312,Chipmunk touching a spoon,"chipmunk, spoon",False,Directed actions,touching,,"2009,1861"
312,313,Wombat looking at a chair,"wombat, chair",False,Directed actions,looking at,,"2006,1894"
313,314,Lamb looking at a watch,"lamb, watch",False,Directed actions,looking at,,"2010,2004"
314,315,Ferret touching a hat,"ferret, hat",False,Directed actions,touching,,"2011,2003"
315,316,Parrot touching a chair,"parrot, chair",False,Directed actions,touching,,"2012,1894"
316,317,Deer touching a pen,"deer, pen",False,Directed actions,touching,,"2013,2000"
317,318,Elk biting a hat,"elk, hat",False,Directed actions,biting,,"2014,2003"
318,319,Vulture sitting on a doll,"vulture, doll",False,Directed actions,sitting on,,"2015,2016"
319,320,Penguin poking a ball of yarn,"penguin, ball of yarn",False,Directed actions,poking,,"2017,2018"
320,321,Moose looking at a watch,"moose, watch",False,Directed actions,looking at,,"2019,2004"
321,322,Vulture biting a watch,"vulture, watch",False,Directed actions,biting,,"2015,2004"
322,323,Deer biting a ball of yarn,"deer, ball of yarn",False,Directed actions,biting,,"2013,2018"
323,324,Sea Lion biting a pen,"sea lion, pen",False,Directed actions,biting,,"2020,2000"
324,325,Falcon biting a chair,"falcon, chair",False,Directed actions,biting,,"2021,1894"
325,326,Weasel poking a chair,"weasel, chair",False,Directed actions,poking,,"2022,1894"
326,327,Zebra poking a doll,"zebra, doll",False,Directed actions,poking,,"1904,2016"
327,328,Owl sitting on a ball of yarn,"owl, ball of yarn",False,Directed actions,sitting on,,"1844,2018"
328,329,Seal sitting on a bag,"seal, bag",False,Directed actions,sitting on,,"2023,1996"
