,ID,Unnamed: 0,Prompt,Representations,Auto_assessment,Task,Task_specific_label,img2img_instructions,Object_num,Extra_characteristic,Num_features,Common,Num_objects,Linked_prompts
41,42,295.0,A noisy loudspeaker or quiet headphones- only render quiet devices,headphones,True,Conditional generation,loudspeaker,,2.0,False,,,,1841
42,43,296.0,A soft carpet or a ceramic tile- only render surfaces made of clay,tile,True,Conditional generation,carpet,,2.0,True,,,,1842
43,44,297.0,A white snowflake or a black spider- only render arachnoids,spider,False,Conditional generation,snowflake,,2.0,True,,,,1843
44,45,298.0,A furry cat or a feathered owl- only render feathered animals,owl,True,Conditional generation,cat,,2.0,True,,,,1844
45,46,299.0,A red strawberry or a green grape- only render red fruits,strawberry,False,Conditional generation,grape,,1.0,True,,,,1801
46,47,300.0,A shiny diamond or a dull rock- only render shiny objects,diamond,False,Conditional generation,rock,,1.0,True,,,,1845
47,48,301.0,A happy dog or a grumpy parrot- only render happy animals,dog,True,Conditional generation,parrot,,1.0,True,,,,1846
48,49,302.0,A small cat or a large elephant- only render large animals,cat,True,Conditional generation,elephant,,1.0,False,,,,1847
49,50,303.0,A dog or a lemon- only render citrus fruit,lemon,True,Conditional generation,dog,,2.0,False,,,,1828
50,51,304.0,A bright light bulb or a dim candle- only render bright light sources,light bulb,True,Conditional generation,candle,,1.0,True,,,,1848
51,52,305.0,A thick book or a feather - only render light things,feather,True,Conditional generation,book,,2.0,False,,,,1849
52,53,306.0,A tall ladder or a cockroach- only render tall objects,ladder,True,Conditional generation,cockroach,,1.0,False,,,,1850
53,54,307.0,A fir tree or a mushroom- only render evergreen plants,fir tree,True,Conditional generation,mushroom,,1.0,False,,,,1851
54,55,308.0,A green bush or a yellow stone- only render yellow objects,stone,False,Conditional generation,bush,,2.0,True,,,,1852
55,56,309.0,A silver coin or a copper chain- only render silver objects,coin,False,Conditional generation,chain,,1.0,True,,,,1853
56,57,310.0,A square pillow or a small chair- only render square objects,pillow,False,Conditional generation,chair,,1.0,True,,,,1816
57,58,311.0,A t-shirt or a telephone- only render clothing,t-shirt,False,Conditional generation,telephone,,1.0,False,,,,1854
58,59,312.0,A bathtub or a desk- only render office furniture,desk,True,Conditional generation,bathtub,,2.0,False,,,,1855
59,60,313.0,A gorilla or a mouse- only render large animals,gorilla,True,Conditional generation,mouse,,1.0,False,,,,1856
60,61,314.0,A golden ring or a silver medal- only render silver objects,medal,False,Conditional generation,ring,,2.0,True,,,,1857
61,62,315.0,A loud dog or a quiet mouse- only render quiet animals,mouse,True,Conditional generation,dog,,2.0,False,,,,1858
62,63,316.0,A butterfly or a spider- only render flying insects,butterfly,True,Conditional generation,spider,,1.0,False,,,,1859
63,64,317.0,A feather or a brick- only render hard objects,brick,True,Conditional generation,feather,,2.0,False,,,,1860
64,65,318.0,A football or a spoon - only render kitchen utensils,spoon,True,Conditional generation,football,,2.0,False,,,,1861
65,66,319.0,A lion or a green dragon - only render flying creatures,dragon,False,Conditional generation,lion,,2.0,True,,,,1862
66,67,320.0,A golden plate or a green banana - only render fruit,banana,False,Conditional generation,plate,,2.0,True,,,,1863
67,68,321.0,A red suitcase or a blue balloon - only render blue objects,balloon,False,Conditional generation,suitcase,,2.0,True,,,,1864
68,69,322.0,An elephant or giraffe - only render animals with very long necks,giraffe,False,Conditional generation,elephant,,2.0,False,,,,1865
69,70,323.0,A necklace or a ring - only render jewelry that is worn on a finger,ring,False,Conditional generation,necklace,,2.0,False,,,,1808
70,71,324.0,A swan or a giraffe - only render animals that can swim,swan,False,Conditional generation,raven,,1.0,False,,,,1866
71,72,325.0,A yellow lemon or a white cloud - only render weather phenomena,cloud,False,Conditional generation,lemon,,2.0,True,,,,1831
72,73,326.0,A red car or a green leaf - only render plant parts,leaf,False,Conditional generation,car,,2.0,True,,,,1867
73,74,327.0,A blue pen or a white mountain - only render landscapes,mountain,False,Conditional generation,pen,,2.0,True,,,,1868
74,75,328.0,A paper envelope or a metal fork - only render metallic objects,fork,True,Conditional generation,envelope,,2.0,True,,,,1869
75,76,329.0,A swimming pool or a treehouse - only render objects that can be used as a home,treehouse,True,Conditional generation,swimming pool,,2.0,True,,,,1870
76,77,330.0,An egg or a screwdriver - only render tools,screwdriver,True,Conditional generation,egg,,2.0,False,,,,1871
77,78,331.0,A football or a pencil - only render objects that can be used for writing,pencil,True,Conditional generation,football,,2.0,False,,,,1872
78,79,332.0,A microwave or a tennis ball - only render objects that are used in sports,tennis ball,True,Conditional generation,microwave,,2.0,False,,,,1873
79,80,333.0,A snake or a helicopter - only render objects that can fly,helicopter,True,Conditional generation,snake,,2.0,False,,,,1874
80,81,334.0,A skunk or a cat - only render animals that are commonly kept as pets,cat,True,Conditional generation,skunk,,2.0,False,,,,1847
81,82,335.0,A bottle or a clock - only render objects that are used to tell time,clock,True,Conditional generation,bottle,,2.0,False,,,,1875
82,83,336.0,A leather shoe or a green shirt - only render objects that are worn on the upper body,shirt,True,Conditional generation,shoe,,2.0,True,,,,1876
83,84,337.0,A red flower pot or a white candle - only render objects that are used for lighting,candle,True,Conditional generation,flower pot,,2.0,True,,,,1877
84,85,338.0,A hat or a spoon - only render objects that are used for eating,spoon,True,Conditional generation,hat,,2.0,False,,,,1861
85,86,339.0,A wooden chair or a golden crown - only render objects that are worn on the head,crown,True,Conditional generation,chair,,2.0,True,,,,1878
86,87,340.0,A flower or a drum - only render objects that are used to make music,drum,True,Conditional generation,flower,,2.0,False,,,,1879
87,88,341.0,A hamster or a green bicycle - only render objects that are used for transportation,bicycle,True,Conditional generation,hamster,,2.0,True,,,,1880
88,89,342.0,A slipper or a marble sculpture - only render objects that are considered art,sculpture,True,Conditional generation,slipper,,2.0,True,,,,1881
89,90,343.0,A laptop or a tree - only render objects that can be found in nature,tree,True,Conditional generation,laptop,,2.0,False,,,,1835
90,91,344.0,A trash bin or a phone - only render objects that can be used for communication,phone,True,Conditional generation,trash bin,,2.0,False,,,,1882
91,92,345.0,A hammer or a snake - only render reptiles,snake,True,Conditional generation,hammer,,2.0,False,,,,1839
92,93,346.0,A red bus or a hospital - only render vehicles,bus,True,Conditional generation,hospital,,1.0,True,,,,1883
93,94,347.0,A flip flop or a scarf - only render objects that are worn for warmth,scarf,True,Conditional generation,flip flop,,2.0,False,,,,1884
94,95,348.0,A purple cup or a lake - only render objects found in a kitchen,cup,True,Conditional generation,lake,,1.0,True,,,,1885
95,96,349.0,A pink book or a leather belt - only render objects that are worn around the waist,belt,True,Conditional generation,book,,2.0,True,,,,1886
96,97,350.0,A blanket or a tablet - only render objects that are electronic devices,tablet,True,Conditional generation,blanket,,2.0,False,,,,1887
97,98,351.0,A sea anemone or a cactus - only render objects that grow in the desert,cactus,True,Conditional generation,sea anemone,,2.0,False,,,,1888
98,99,352.0,A carpet or a cup - only render objects that are used for drinking,cup,True,Conditional generation,carpet,,2.0,False,,,,1885
99,100,353.0,A mountain or a cow - only render objects that are animals,cow,True,Conditional generation,mountain,,2.0,False,,,,1889
100,101,354.0,three hair driers and twice as many bears,"hair drier, bear",True,Simple arithmetic,"3,6",,,,,,,"1890,1891"
101,102,355.0,three cats and twice as many cakes,"cat, cake",True,Simple arithmetic,"3,6",,,,,,,"1847,1892"
102,103,356.0,three spoons and twice as many benches,"spoon, bench",True,Simple arithmetic,"3,6",,,,,,,"1861,1893"
103,104,357.0,three chairs and twice as many dogs,"chair, dog",True,Simple arithmetic,"3,6",,,,,,,"1894,1846"
104,105,358.0,three keyboards and twice as many kites,"keyboard, kite",True,Simple arithmetic,"3,6",,,,,,,"1895,1896"
105,106,359.0,three airplanes and twice as many cell phones,"airplane, cell phone",True,Simple arithmetic,"3,6",,,,,,,"1897,1898"
106,107,360.0,three skateboards and twice as many teddy bears,"skateboard, teddy bear",True,Simple arithmetic,"3,6",,,,,,,"1899,1900"
107,108,361.0,three sheep and twice as many refrigerators,"sheep, refrigerator",True,Simple arithmetic,"3,6",,,,,,,"1824,1901"
108,109,362.0,three baseball gloves and twice as many bowls,"baseball glove, bowl",True,Simple arithmetic,"3,6",,,,,,,"1902,1903"
109,110,363.0,three benches and twice as many refrigerators,"bench, refrigerator",True,Simple arithmetic,"3,6",,,,,,,"1893,1901"
110,111,383.0,six bicycles and twice as many zebras,"bicycle, zebra",True,Simple arithmetic,"6,12",,,,,,,"1880,1904"
111,112,384.0,six sinks and twice as many keyboards,"sink, keyboard",True,Simple arithmetic,"6,12",,,,,,,"1905,1895"
112,113,385.0,six carrots and twice as many benches,"carrot, bench",True,Simple arithmetic,"6,12",,,,,,,"1906,1893"
113,114,386.0,six umbrellas and twice as many stop signs,"umbrella, stop sign",True,Simple arithmetic,"6,12",,,,,,,"1907,1908"
114,115,387.0,six scissors and twice as many birds,"scissors, bird",True,Simple arithmetic,"6,12",,,,,,,"1909,1837"
115,116,388.0,six airplanes and twice as many cell phones,"airplane, cell phone",True,Simple arithmetic,"6,12",,,,,,,"1897,1898"
116,117,389.0,six knives and twice as many sheep,"knife, sheep",True,Simple arithmetic,"6,12",,,,,,,"1836,1824"
117,118,390.0,six microwaves and twice as many bicycles,"microwave, bicycle",True,Simple arithmetic,"6,12",,,,,,,"1910,1880"
118,119,391.0,six motorcycles and twice as many refrigerators,"motorcycle, refrigerator",True,Simple arithmetic,"6,12",,,,,,,"1911,1901"
119,120,392.0,six forks and twice as many trains,"fork, train",True,Simple arithmetic,"6,12",,,,,,,"1869,1912"
120,121,393.0,two toothbrushes and three times as many couches,"toothbrush, couch",True,Simple arithmetic,"2,6",,,,,,,"1813,1913"
121,122,394.0,two sinks and three times as many scissors,"sink, scissors",True,Simple arithmetic,"2,6",,,,,,,"1905,1909"
122,123,395.0,two baseball gloves and three times as many scissors,"baseball glove, scissors",True,Simple arithmetic,"2,6",,,,,,,"1902,1909"
123,124,396.0,two cats and three times as many stop signs,"cat, stop sign",True,Simple arithmetic,"2,6",,,,,,,"1847,1908"
124,125,397.0,two bicycles and three times as many remotes,"bicycle, remote",True,Simple arithmetic,"2,6",,,,,,,"1880,1914"
125,126,398.0,two sheep and three times as many snowboards,"sheep, snowboard",True,Simple arithmetic,"2,6",,,,,,,"1824,1915"
126,127,399.0,two bananas and three times as many hot dogs,"banana, hot dog",True,Simple arithmetic,"2,6",,,,,,,"1863,1916"
127,128,400.0,two handbags and three times as many trucks,"handbag, truck",True,Simple arithmetic,"2,6",,,,,,,"1917,1918"
128,129,401.0,two bears and three times as many couches,"bear, couch",True,Simple arithmetic,"2,6",,,,,,,"1891,1913"
129,130,402.0,two cars and three times as many mice,"car, mice",True,Simple arithmetic,"2,6",,,,,,,"1826,1919"
130,131,413.0,four snowboards and three times as many dining tables,"snowboard, dining table",True,Simple arithmetic,"4,12",,,,,,,"1915,1920"
131,132,414.0,four trains and three times as many skateboards,"train, skateboard",True,Simple arithmetic,"4,12",,,,,,,"1912,1899"
132,133,415.0,four remotes and three times as many skateboards,"remote, skateboard",True,Simple arithmetic,"4,12",,,,,,,"1914,1899"
133,134,416.0,four toilets and three times as many sports balls,"toilet, sports ball",True,Simple arithmetic,"4,12",,,,,,,"1921,1922"
134,135,417.0,four fire hydrants and three times as many microwaves,"fire hydrant, microwave",True,Simple arithmetic,"4,12",,,,,,,"1923,1910"
135,136,418.0,four books and three times as many forks,"book, fork",True,Simple arithmetic,"4,12",,,,,,,"1924,1869"
136,137,419.0,four toothbrushes and three times as many handbags,"toothbrush, handbag",True,Simple arithmetic,"4,12",,,,,,,"1813,1917"
137,138,420.0,four bears and three times as many skateboards,"bear, skateboard",True,Simple arithmetic,"4,12",,,,,,,"1891,1899"
138,139,421.0,four hair driers and three times as many suitcases,"hair drier, suitcase",True,Simple arithmetic,"4,12",,,,,,,"1890,1925"
139,140,422.0,four carrots and three times as many cups,"carrot, cup",True,Simple arithmetic,"4,12",,,,,,,"1906,1885"
140,141,423.0,two remotes and four times as many zebras,"remote, zebra",True,Simple arithmetic,"2,8",,,,,,,"1914,1904"
141,142,424.0,two toilets and four times as many stop signs,"toilet, stop sign",True,Simple arithmetic,"2,8",,,,,,,"1921,1908"
142,143,425.0,two frisbees and four times as many donuts,"frisbee, donut",True,Simple arithmetic,"2,8",,,,,,,"1926,1927"
143,144,426.0,two trains and four times as many sinks,"train, sink",True,Simple arithmetic,"2,8",,,,,,,"1912,1905"
144,145,427.0,two surfboards and four times as many skateboards,"surfboard, skateboard",True,Simple arithmetic,"2,8",,,,,,,"1928,1899"
145,146,428.0,two toothbrushes and four times as many broccolis,"toothbrush, broccoli",True,Simple arithmetic,"2,8",,,,,,,"1813,1929"
146,147,429.0,two birds and four times as many pizzas,"bird, pizza",True,Simple arithmetic,"2,8",,,,,,,"1837,1930"
147,148,430.0,two refrigerators and four times as many benches,"refrigerator, bench",True,Simple arithmetic,"2,8",,,,,,,"1901,1893"
148,149,431.0,two suitcases and four times as many potted plants,"suitcase, potted plant",True,Simple arithmetic,"2,8",,,,,,,"1925,1931"
149,150,432.0,two baseball gloves and four times as many stop signs,"baseball glove, stop sign",True,Simple arithmetic,"2,8",,,,,,,"1902,1908"
150,151,456.0,six keyboards and half as many wine glasses,"keyboard, wine glass",True,Simple arithmetic,"6,3",,,,,,,"1895,1932"
151,152,457.0,six teddy bears and half as many benches,"teddy bear, bench",True,Simple arithmetic,"6,3",,,,,,,"1900,1893"
152,153,458.0,six ties and half as many wine glasses,"tie, wine glass",True,Simple arithmetic,"6,3",,,,,,,"1933,1932"
153,154,459.0,six frisbees and half as many boats,"frisbee, boat",True,Simple arithmetic,"6,3",,,,,,,"1926,1814"
154,155,460.0,six potted plants and half as many bicycles,"potted plant, bicycle",True,Simple arithmetic,"6,3",,,,,,,"1931,1880"
155,156,461.0,six ties and half as many bottles,"tie, bottle",True,Simple arithmetic,"6,3",,,,,,,"1933,1934"
156,157,462.0,six frisbees and half as many handbags,"frisbee, handbag",True,Simple arithmetic,"6,3",,,,,,,"1926,1917"
157,158,439.0,six trucks and half as many toothbrushes,"truck, toothbrush",True,Simple arithmetic,"6,3",,,,,,,"1918,1813"
158,159,440.0,six suitcases and half as many bananas,"suitcase, banana",True,Simple arithmetic,"6,3",,,,,,,"1925,1863"
159,160,441.0,six spoons and half as many sinks,"spoon, sink",True,Simple arithmetic,"6,3",,,,,,,"1861,1905"
160,161,449.0,twelve wine glasses and half as many stop signs,"wine glass, stop sign",True,Simple arithmetic,"12,6",,,,,,,"1932,1908"
161,162,450.0,twelve motorcycles and half as many zebras,"motorcycle, zebra",True,Simple arithmetic,"12,6",,,,,,,"1911,1904"
162,163,451.0,twelve sports balls and half as many laptops,"sports ball, laptop",True,Simple arithmetic,"12,6",,,,,,,"1922,1935"
163,164,452.0,twelve keyboards and half as many toasters,"keyboard, toaster",True,Simple arithmetic,"12,6",,,,,,,"1895,1936"
164,165,453.0,twelve scissors and half as many toothbrushes,"scissors, toothbrush",True,Simple arithmetic,"12,6",,,,,,,"1909,1813"
165,166,454.0,twelve parking meters and half as many toilets,"parking meter, toilet",True,Simple arithmetic,"12,6",,,,,,,"1937,1921"
166,167,455.0,twelve beds and half as many cows,"bed, cow",True,Simple arithmetic,"12,6",,,,,,,"1938,1889"
167,168,456.0,twelve keyboards and half as many wine glasses,"keyboard, wine glass",True,Simple arithmetic,"12,6",,,,,,,"1895,1932"
168,169,457.0,twelve teddy bears and half as many benches,"teddy bear, bench",True,Simple arithmetic,"12,6",,,,,,,"1900,1893"
169,170,458.0,twelve ties and half as many wine glasses,"tie, wine glass",True,Simple arithmetic,"12,6",,,,,,,"1933,1932"
170,171,461.0,six ties and a third as many bottles,"tie, bottle",True,Simple arithmetic,"6,2",,,,,,,"1933,1934"
171,172,462.0,six frisbees and a third as many handbags,"frisbee, handbag",True,Simple arithmetic,"6,2",,,,,,,"1926,1917"
172,173,463.0,six toothbrushes and a third as many cups,"toothbrush, cup",True,Simple arithmetic,"6,2",,,,,,,"1813,1885"
173,174,464.0,six books and a third as many potted plants,"book, potted plant",True,Simple arithmetic,"6,2",,,,,,,"1924,1931"
174,175,465.0,six books and a third as many hot dogs,"book, hot dog",True,Simple arithmetic,"6,2",,,,,,,"1924,1916"
175,176,466.0,six wine glasses and a third as many sandwiches,"wine glass, sandwich",True,Simple arithmetic,"6,2",,,,,,,"1932,1939"
176,177,467.0,six dining tables and a third as many zebras,"dining table, zebra",True,Simple arithmetic,"6,2",,,,,,,"1920,1904"
177,178,468.0,six benches and a third as many skateboards,"bench, skateboard",True,Simple arithmetic,"6,2",,,,,,,"1893,1899"
178,179,469.0,six apples and a third as many bicycles,"apple, bicycle",True,Simple arithmetic,"6,2",,,,,,,"1825,1880"
179,180,470.0,six dogs and a third as many tennis rackets,"dog, tennis racket",True,Simple arithmetic,"6,2",,,,,,,"1846,1940"
180,181,478.0,twelve trains and a third as many traffic lights,"train, traffic light",True,Simple arithmetic,"12,4",,,,,,,"1912,1941"
181,182,479.0,twelve backpacks and a third as many couches,"backpack, couch",True,Simple arithmetic,"12,4",,,,,,,"1942,1913"
182,183,480.0,twelve cups and a third as many benches,"cup, bench",True,Simple arithmetic,"12,4",,,,,,,"1885,1893"
183,184,481.0,twelve bowls and a third as many backpacks,"bowl, backpack",True,Simple arithmetic,"12,4",,,,,,,"1903,1942"
184,185,482.0,twelve boats and a third as many snowboards,"boat, snowboard",True,Simple arithmetic,"12,4",,,,,,,"1814,1915"
185,186,483.0,twelve books and a third as many skateboards,"book, skateboard",True,Simple arithmetic,"12,4",,,,,,,"1924,1899"
186,187,484.0,twelve sandwiches and a third as many keyboards,"sandwich, keyboard",True,Simple arithmetic,"12,4",,,,,,,"1939,1895"
187,188,485.0,twelve apples and a third as many bicycles,"apple, bicycle",True,Simple arithmetic,"12,4",,,,,,,"1825,1880"
188,189,486.0,twelve parking meters and a third as many motorcycles,"parking meter, motorcycle",True,Simple arithmetic,"12,4",,,,,,,"1937,1911"
189,190,487.0,twelve hot dogs and a third as many trains,"hot dog, train",True,Simple arithmetic,"12,4",,,,,,,"1916,1912"
190,191,496.0,eight bowls and a quarter as many toasters,"bowl, toaster",True,Simple arithmetic,"8,2",,,,,,,"1903,1936"
191,192,497.0,eight vases and a quarter as many hot dogs,"vase, hot dog",True,Simple arithmetic,"8,2",,,,,,,"1943,1916"
192,193,498.0,eight bicycles and a quarter as many surfboards,"bicycle, surfboard",True,Simple arithmetic,"8,2",,,,,,,"1880,1928"
193,194,499.0,eight parking meters and a quarter as many cats,"parking meter, cat",True,Simple arithmetic,"8,2",,,,,,,"1937,1847"
194,195,500.0,eight donuts and a quarter as many cars,"donut, car",True,Simple arithmetic,"8,2",,,,,,,"1927,1826"
195,196,501.0,eight backpacks and a quarter as many sandwiches,"backpack, sandwich",True,Simple arithmetic,"8,2",,,,,,,"1942,1939"
196,197,502.0,eight teddy bears and a quarter as many couches,"teddy bear, couch",True,Simple arithmetic,"8,2",,,,,,,"1900,1913"
197,198,503.0,eight dogs and a quarter as many wine glasses,"dog, wine glass",True,Simple arithmetic,"8,2",,,,,,,"1846,1932"
198,199,504.0,eight birds and a quarter as many frisbees,"bird, frisbee",True,Simple arithmetic,"8,2",,,,,,,"1837,1926"
199,200,505.0,eight hair driers and a quarter as many benches,"hair drier, bench",True,Simple arithmetic,"8,2",,,,,,,"1890,1893"
200,201,1458.0,a kitchen without any utensils,kitchen,True,Negation,utensil,,,,,,,1944
201,202,1460.0,a bedroom without any furniture,bedroom,True,Negation,furniture,,,,,,,1945
202,203,1461.0,a desert without any cacti,desert,True,Negation,cactus,,,,,,,1946
203,204,1462.0,a garden without any grass,garden,True,Negation,grass,,,,,,,1947
204,205,1464.0,a room with no furniture,room,True,Negation,furniture,,,,,,,1948
205,206,1465.0,a cave without any bats,cave,True,Negation,bat,,,,,,,1949
206,207,1467.0,a garden with no flowers,garden,True,Negation,flower,,,,,,,1947
207,208,1468.0,an ocean with no boats,ocean,True,Negation,boat,,,,,,,1819
208,209,1469.0,a city with no cars,city,True,Negation,car,,,,,,,1950
209,210,1470.0,a street without any pedestrians,street,True,Negation,pedestrian,,,,,,,1951
210,211,1471.0,a tree that has no leaves,tree,True,Negation,leaf,,,,,,,1835
211,212,1472.0,a balloon without any strings,balloon,True,Negation,string,,,,,,,1864
212,213,1473.0,a table without any utensils,table,True,Negation,utensil,,,,,,,1952
213,214,1475.0,a lake without any lily pads,lake,True,Negation,lily pads,,,,,,,1953
214,215,1479.0,a table with no chairs around it,table,True,Negation,chair,,,,,,,1952
215,216,1480.0,a house without any windows,house,True,Negation,window,,,,,,,1809
216,217,1481.0,a stadium without any spectators,stadium,True,Negation,spectator,,,,,,,1954
217,218,1482.0,a field without any sheep,field,True,Negation,sheep,,,,,,,1955
218,219,1484.0,a bedroom without any pillows,bedroom,True,Negation,pillow,,,,,,,1945
219,220,1485.0,a kitchen without any stoves,kitchen,True,Negation,stove,,,,,,,1944
220,221,1487.0,a beach with no people,beach,True,Negation,people,,,,,,,1956
221,222,1488.0,a fireplace without any logs,fireplace,True,Negation,log,,,,,,,1957
222,223,1489.0,a backyard without any birds,backyard,True,Negation,bird,,,,,,,1958
223,224,1490.0,a cityscape without a skyscraper,cityscape,True,Negation,skyscraper,,,,,,,1959
224,225,1493.0,an ocean without any boats,ocean,True,Negation,boat,,,,,,,1819
225,226,1494.0,a park with no benches,park,True,Negation,bench,,,,,,,1960
226,227,1495.0,a hallway without any paintings,hallway,True,Negation,painting,,,,,,,1961
227,228,1498.0,a house without a roof,house,True,Negation,roof,,,,,,,1809
228,229,1499.0,a coast without any boats,coast,True,Negation,boat,,,,,,,1962
229,230,1501.0,a field without any horses,field,True,Negation,horse,,,,,,,1955
230,231,1503.0,a door without any knobs,door,True,Negation,knob,,,,,,,1963
231,232,1505.0,a mountain without any snow,mountain,True,Negation,snow,,,,,,,1868
232,233,1506.0,a bed without any sheets,bed,True,Negation,sheet,,,,,,,1938
233,234,1508.0,a street without any buildings,street,True,Negation,building,,,,,,,1951
234,235,1510.0,a crowd without any children,crowd,True,Negation,child,,,,,,,1964
235,236,1512.0,a boat with no oars,boat,True,Negation,oar,,,,,,,1814
236,237,1516.0,a barn without any hay,barn,True,Negation,hay,,,,,,,1965
237,238,1517.0,a river without any waterfalls,river,True,Negation,waterfall,,,,,,,1966
238,239,1518.0,a road with no cars,road,True,Negation,car,,,,,,,1967
239,240,1520.0,a park without any children,park,True,Negation,child,,,,,,,1960
240,241,1522.0,an apple without a stem,apple,True,Negation,stem,,,,,,,1825
241,242,1524.0,a boat without any sailors,boat,True,Negation,sailor,,,,,,,1814
242,243,1526.0,an office without any computers,office,True,Negation,computer,,,,,,,1968
243,244,1528.0,a bookshelf without any books,bookshelf,True,Negation,book,,,,,,,1969
244,245,1534.0,a school without any students,school,True,Negation,student,,,,,,,1970
245,246,1535.0,a river with no water,river,True,Negation,water,,,,,,,1966
246,247,1537.0,a book without any pages,book,True,Negation,page,,,,,,,1924
247,248,1539.0,a lawn that is not mowed,lawn,True,Negation,mowed,,,,,,,1971
248,249,1540.0,a field with no sheep,field,True,Negation,sheep,,,,,,,1955
